Will train until eval error hasn't decreased in 100 rounds.
[0]	train-rmspe:0.999994	eval-rmspe:0.999746
[1]	train-rmspe:0.999981	eval-rmspe:0.999536
[2]	train-rmspe:0.999953	eval-rmspe:0.999261
[3]	train-rmspe:0.999891	eval-rmspe:0.998874
[4]	train-rmspe:0.999770	eval-rmspe:0.998358
[5]	train-rmspe:0.999543	eval-rmspe:0.997682
[6]	train-rmspe:0.999135	eval-rmspe:0.996802
[7]	train-rmspe:0.998428	eval-rmspe:0.995684
[8]	train-rmspe:0.997310	eval-rmspe:0.994281
[9]	train-rmspe:0.995480	eval-rmspe:0.992543
[10]	train-rmspe:0.992953	eval-rmspe:0.990418
[11]	train-rmspe:0.989724	eval-rmspe:0.987868
[12]	train-rmspe:0.985560	eval-rmspe:0.984818
[13]	train-rmspe:0.980700	eval-rmspe:0.981219
[14]	train-rmspe:0.975792	eval-rmspe:0.977021
[15]	train-rmspe:0.971079	eval-rmspe:0.972179
[16]	train-rmspe:0.966185	eval-rmspe:0.966646
[17]	train-rmspe:0.960390	eval-rmspe:0.960384
[18]	train-rmspe:0.953491	eval-rmspe:0.953369
[19]	train-rmspe:0.945593	eval-rmspe:0.945595
[20]	train-rmspe:0.936863	eval-rmspe:0.936978
[21]	train-rmspe:0.927430	eval-rmspe:0.927597
[22]	train-rmspe:0.917226	eval-rmspe:0.917397
[23]	train-rmspe:0.906226	eval-rmspe:0.906389
[24]	train-rmspe:0.894374	eval-rmspe:0.894526
[25]	train-rmspe:0.881775	eval-rmspe:0.881950
[26]	train-rmspe:0.868393	eval-rmspe:0.868572
[27]	train-rmspe:0.854386	eval-rmspe:0.854547
[28]	train-rmspe:0.839675	eval-rmspe:0.839829
[29]	train-rmspe:0.824352	eval-rmspe:0.824452
[30]	train-rmspe:0.808488	eval-rmspe:0.808557
[31]	train-rmspe:0.792136	eval-rmspe:0.792162
[32]	train-rmspe:0.775345	eval-rmspe:0.775323
[33]	train-rmspe:0.758169	eval-rmspe:0.758065
[34]	train-rmspe:0.740712	eval-rmspe:0.740530
[35]	train-rmspe:0.722988	eval-rmspe:0.722686
[36]	train-rmspe:0.705072	eval-rmspe:0.704669
[37]	train-rmspe:0.687073	eval-rmspe:0.686536
[38]	train-rmspe:0.669054	eval-rmspe:0.668330
[39]	train-rmspe:0.651084	eval-rmspe:0.650141
[40]	train-rmspe:0.633219	eval-rmspe:0.632043
[41]	train-rmspe:0.615505	eval-rmspe:0.614070
[42]	train-rmspe:0.598027	eval-rmspe:0.596267
[43]	train-rmspe:0.580782	eval-rmspe:0.578692
[44]	train-rmspe:0.563870	eval-rmspe:0.561363
[45]	train-rmspe:0.547278	eval-rmspe:0.544388
[46]	train-rmspe:0.531116	eval-rmspe:0.527747
[47]	train-rmspe:0.515449	eval-rmspe:0.511586
[48]	train-rmspe:0.500113	eval-rmspe:0.495833
[49]	train-rmspe:0.485273	eval-rmspe:0.480579
[50]	train-rmspe:0.470914	eval-rmspe:0.465640
[51]	train-rmspe:0.457225	eval-rmspe:0.451344
[52]	train-rmspe:0.444128	eval-rmspe:0.437655
[53]	train-rmspe:0.431671	eval-rmspe:0.424550
[54]	train-rmspe:0.419748	eval-rmspe:0.411930
[55]	train-rmspe:0.408569	eval-rmspe:0.400053
[56]	train-rmspe:0.397914	eval-rmspe:0.388594
[57]	train-rmspe:0.387658	eval-rmspe:0.377728
[58]	train-rmspe:0.377998	eval-rmspe:0.367188
[59]	train-rmspe:0.368875	eval-rmspe:0.357574
[60]	train-rmspe:0.360100	eval-rmspe:0.347973
[61]	train-rmspe:0.352477	eval-rmspe:0.339534
[62]	train-rmspe:0.345380	eval-rmspe:0.331601
[63]	train-rmspe:0.338665	eval-rmspe:0.324151
[64]	train-rmspe:0.332412	eval-rmspe:0.317032
[65]	train-rmspe:0.326901	eval-rmspe:0.310488
[66]	train-rmspe:0.321532	eval-rmspe:0.304126
[67]	train-rmspe:0.316612	eval-rmspe:0.298331
[68]	train-rmspe:0.312543	eval-rmspe:0.293335
[69]	train-rmspe:0.308595	eval-rmspe:0.288532
[70]	train-rmspe:0.305176	eval-rmspe:0.284252
[71]	train-rmspe:0.301949	eval-rmspe:0.280260
[72]	train-rmspe:0.298643	eval-rmspe:0.276130
[73]	train-rmspe:0.295958	eval-rmspe:0.272927
[74]	train-rmspe:0.293305	eval-rmspe:0.269483
[75]	train-rmspe:0.291539	eval-rmspe:0.267019
[76]	train-rmspe:0.289009	eval-rmspe:0.263717
[77]	train-rmspe:0.286784	eval-rmspe:0.261895
[78]	train-rmspe:0.285534	eval-rmspe:0.260144
[79]	train-rmspe:0.284337	eval-rmspe:0.258296
[80]	train-rmspe:0.283145	eval-rmspe:0.256542
[81]	train-rmspe:0.281774	eval-rmspe:0.254645
[82]	train-rmspe:0.279596	eval-rmspe:0.253314
[83]	train-rmspe:0.278780	eval-rmspe:0.251916
[84]	train-rmspe:0.278031	eval-rmspe:0.250797
[85]	train-rmspe:0.276916	eval-rmspe:0.249207
[86]	train-rmspe:0.276095	eval-rmspe:0.248607
[87]	train-rmspe:0.275588	eval-rmspe:0.247630
[88]	train-rmspe:0.274822	eval-rmspe:0.246587
[89]	train-rmspe:0.274110	eval-rmspe:0.245563
[90]	train-rmspe:0.273918	eval-rmspe:0.245146
[91]	train-rmspe:0.273556	eval-rmspe:0.244350
[92]	train-rmspe:0.273307	eval-rmspe:0.243837
[93]	train-rmspe:0.273054	eval-rmspe:0.243673
[94]	train-rmspe:0.272820	eval-rmspe:0.243121
[95]	train-rmspe:0.272737	eval-rmspe:0.243036
[96]	train-rmspe:0.272357	eval-rmspe:0.242623
[97]	train-rmspe:0.271978	eval-rmspe:0.242223
[98]	train-rmspe:0.271897	eval-rmspe:0.241957
[99]	train-rmspe:0.271746	eval-rmspe:0.241808
